,price,loc,size
2015-08-19 22:38:00,4995,sfc,
2015-08-19 22:37:00,5800,sfc,
2015-08-19 22:34:00,9000,sfc,2879.0
2015-08-19 22:32:00,6795,sfc,
2015-08-19 22:30:00,2900,sfc,
2015-08-19 22:24:00,4000,sfc,
2015-08-19 22:08:00,1898,sfc,
2015-08-19 22:00:00,2400,sfc,
2015-08-19 22:00:00,4800,sfc,
2015-08-19 22:00:00,2300,sfc,
2015-08-19 22:00:00,2500,sfc,
2015-08-19 21:59:00,2100,sfc,
2015-08-19 21:54:00,3400,sfc,
2015-08-19 21:50:00,6000,sfc,1400.0
2015-08-19 21:49:00,5950,sfc,1400.0
2015-08-19 21:46:00,3400,sfc,
2015-08-19 21:33:00,5500,sfc,
2015-08-19 21:30:00,2300,sfc,600.0
2015-08-19 21:23:00,7500,sfc,1500.0
2015-08-19 21:17:00,1695,sfc,500.0
2015-08-19 21:14:00,8200,sfc,
2015-08-19 21:11:00,7200,sfc,1200.0
2015-08-19 21:07:00,3500,sfc,800.0
2015-08-19 21:03:00,8200,sfc,
2015-08-19 20:51:00,4100,sfc,
2015-08-19 20:51:00,3950,sfc,1000.0
2015-08-19 20:48:00,4500,sfc,
2015-08-19 20:46:00,2200,sfc,
2015-08-19 20:30:00,2495,sfc,
2015-08-19 20:26:00,2495,sfc,
2015-08-19 20:20:00,3000,sfc,
2015-08-19 20:09:00,8000,sfc,
2015-08-19 20:01:00,3500,sfc,650.0
2015-08-19 19:53:00,4995,sfc,
2015-08-19 19:52:00,4995,sfc,
2015-08-19 19:39:00,3287,sfc,625.0
2015-08-19 19:36:00,3195,sfc,600.0
2015-08-19 19:34:00,3650,sfc,
2015-08-19 19:34:00,3500,sfc,
2015-08-19 19:34:00,3495,sfc,
2015-08-19 19:29:00,5850,sfc,1575.0
2015-08-19 19:20:00,4970,sfc,1200.0
2015-08-19 19:19:00,2395,sfc,1600.0
2015-08-19 19:17:00,4375,sfc,
2015-08-19 19:13:00,4995,sfc,
2015-08-19 19:11:00,7000,sfc,1640.0
2015-08-19 19:08:00,9000,sfc,
2015-08-19 19:07:00,4995,sfc,
2015-08-19 19:05:00,3200,sfc,800.0
2015-08-19 19:01:00,6500,sfc,
2015-08-19 18:57:00,6049,sfc,1374.0
2015-08-19 18:54:00,2595,sfc,
2015-08-19 18:54:00,3995,sfc,
2015-08-19 18:54:00,3695,sfc,
2015-08-19 18:53:00,3495,sfc,
2015-08-19 18:52:00,3595,sfc,743.0
2015-08-19 18:50:00,3495,sfc,
2015-08-19 18:46:00,6295,sfc,1723.0
2015-08-19 18:43:00,4350,sfc,1100.0
2015-08-19 18:40:00,7700,sfc,
2015-08-19 18:32:00,4395,sfc,1232.0
2015-08-19 18:28:00,5995,sfc,
2015-08-19 18:23:00,4350,sfc,
2015-08-19 18:23:00,2150,sfc,
2015-08-19 18:22:00,5990,sfc,1540.0
2015-08-19 18:17:00,4563,sfc,1009.0
2015-08-19 18:16:00,4900,sfc,1326.0
2015-08-19 18:13:00,2195,sfc,
2015-08-19 18:08:00,2850,sfc,468.0
2015-08-19 17:58:00,3782,sfc,782.0
2015-08-19 17:57:00,3838,sfc,825.0
2015-08-19 17:57:00,3950,sfc,764.0
2015-08-19 17:56:00,5961,sfc,1224.0
2015-08-19 17:49:00,3875,sfc,
2015-08-19 17:45:00,1550,sfc,
2015-08-19 17:44:00,2950,sfc,
2015-08-19 17:42:00,7495,sfc,
2015-08-19 17:41:00,5950,sfc,
2015-08-19 17:41:00,18000,sfc,
2015-08-19 17:37:00,3500,sfc,1466.0
2015-08-19 17:37:00,4000,sfc,1600.0
2015-08-19 17:31:00,8500,sfc,
2015-08-19 17:27:00,4180,sfc,
2015-08-19 17:25:00,4104,sfc,916.0
2015-08-19 17:23:00,3839,sfc,845.0
2015-08-19 17:23:00,2500,sfc,
2015-08-19 17:22:00,7777,sfc,1800.0
2015-08-19 17:20:00,4450,sfc,1150.0
2015-08-19 17:20:00,5680,sfc,1450.0
2015-08-19 17:13:00,11500,sfc,3600.0
2015-08-19 17:13:00,5250,sfc,2200.0
2015-08-19 17:10:00,2595,sfc,
2015-08-19 17:10:00,3000,sfc,
2015-08-19 17:09:00,3850,sfc,860.0
2015-08-20 09:10:00,2890,sby,890.0
2015-08-20 09:07:00,1580,sby,400.0
2015-08-20 09:07:00,4400,sby,1850.0
2015-08-20 09:04:00,3027,sby,
2015-08-20 09:04:00,2399,sby,950.0
2015-08-20 09:03:00,1795,sby,
2015-08-20 09:02:00,4400,sby,1850.0
2015-08-20 09:02:00,1925,sby,675.0
2015-08-20 08:59:00,2950,sby,1150.0
2015-08-20 08:58:00,2255,sby,
2015-08-20 08:52:00,2750,sby,
2015-08-20 08:51:00,3505,sby,1336.0
2015-08-20 08:51:00,3600,sby,1210.0
2015-08-20 08:51:00,2950,sby,1150.0
2015-08-20 08:51:00,2675,sby,714.0
